feature,importance
tqwt_maxValue_dec_18,0.10921611176875172
det_LT_TKEO_std_4_coef,0.10711126616938095
tqwt_stdValue_dec_19,0.10665691401254691
tqwt_skewnessValue_dec_36,0.10659086597651617
tqwt_skewnessValue_dec_27,0.10535526181807414
tqwt_maxValue_dec_4,0.10385287981210643
tqwt_stdValue_dec_18,0.10319982978428224
mean_5th_delta,0.10301234631468884
tqwt_maxValue_dec_15,0.10271305672844633
app_LT_TKEO_std_10_coef,0.10153443865261913
ddpJitter,0.10025567103871316
tqwt_minValue_dec_13,0.09993633742160662
GNE_std,0.09938356368756321
app_LT_entropy_shannon_1_coef,0.09841402379727417
GQ_std_cycle_closed,0.09795634993751011
tqwt_energy_dec_26,0.09770141897840537
meanIntensity,0.09765331376684862
tqwt_meanValue_dec_4,0.09509255642338901
det_TKEO_std_8_coef,0.09492524523149105
tqwt_skewnessValue_dec_10,0.09470149870157887
tqwt_kurtosisValue_dec_21,0.093174142813286
tqwt_maxValue_dec_11,0.0930435525919548
tqwt_meanValue_dec_20,0.09241903999555892
std_12th_delta,0.09240330036615282
tqwt_medianValue_dec_36,0.09114237510792664
app_LT_entropy_log_1_coef,0.0907360077705704
tqwt_TKEO_mean_dec_16,0.08989745783816219
tqwt_TKEO_std_dec_10,0.08971347894217616
tqwt_entropy_log_dec_3,0.08958984777692698
mean_MFCC_11th_coef,0.08868277892520468
tqwt_TKEO_std_dec_5,0.08792819229539332
VFER_NSR_TKEO,0.08740120095278593
tqwt_meanValue_dec_27,0.08697018244611344
std_delta_delta_0th,0.08571616268262573
mean_2nd_delta,0.08560109108413269
tqwt_entropy_log_dec_14,0.08503230517170637
tqwt_TKEO_std_dec_1,0.08477916474394617
tqwt_energy_dec_25,0.08413260472133438
meanPeriodPulses,0.08280212522758669
mean_7th_delta_delta,0.08222901807465212
tqwt_skewnessValue_dec_26,0.08141014096388215
det_entropy_shannon_8_coef,0.0811737299889093
mean_2nd_delta_delta,0.07984526760026936
tqwt_TKEO_mean_dec_19,0.07904828356261252
tqwt_minValue_dec_33,0.07861392665233889
app_det_TKEO_mean_5_coef,0.07844923946252448
tqwt_entropy_log_dec_9,0.07844279892039774
det_TKEO_mean_8_coef,0.07747932916004496
numPeriodsPulses,0.07587566250510396
tqwt_skewnessValue_dec_24,0.07504652402342545
GNE_NSR_SEO,0.07406075754283849
tqwt_entropy_shannon_dec_9,0.07387385219252228
GNE_SNR_TKEO,0.07369931775473924
det_LT_TKEO_mean_2_coef,0.07154901230755203
det_LT_entropy_shannon_8_coef,0.07073922156663197
app_det_TKEO_mean_1_coef,0.06964806074415988
tqwt_energy_dec_7,0.06961597680326333
det_TKEO_mean_10_coef,0.06878005542761109
tqwt_kurtosisValue_dec_13,0.06800926805055015
tqwt_entropy_shannon_dec_2,0.0679354144537767
tqwt_kurtosisValue_dec_20,0.06793116787805364
tqwt_entropy_shannon_dec_25,0.06758967159499388
std_0th_delta,0.06694986895192176
tqwt_energy_dec_11,0.0661602232262161
std_delta_delta_log_energy,0.06551493315541404
app_LT_entropy_shannon_10_coef,0.06545697545926259
tqwt_TKEO_mean_dec_7,0.06466841921799875
det_entropy_log_5_coef,0.06402464953765015
tqwt_entropy_shannon_dec_18,0.06344536449631524
tqwt_minValue_dec_25,0.06343155613814701
GQ_std_cycle_open,0.06330045638632016
app_LT_TKEO_std_4_coef,0.06288148575221585
tqwt_skewnessValue_dec_14,0.0625167369128039
std_9th_delta,0.06251184884437429
tqwt_meanValue_dec_11,0.06213541602715713
det_LT_TKEO_std_9_coef,0.062058889013736504
